product_id,warehouse_id,quantity_on_hand
"230","2","115"
"230","3","104"
"231","1","171"
"231","2","116"
"231","3","102"
"232","1","58"
"232","2","96"
"232","3","185"
"233","1","116"
"233","2","160"
"233","3","86"
"234","1","108"
"234","2","78"
"234","3","149"
"235","1","83"
"235","2","195"
"235","3","119"
"236","1","191"
"236","2","135"
"236","3","200"
"237","1","148"
"237","2","140"
"237","3","76"
"238","1","51"
"238","2","56"
"238","3","99"
"239","1","50"
"239","2","119"
"239","3","125"
"240","1","147"
"240","2","142"
"240","3","132"
"241","1","104"
"241","2","163"
"241","3","61"
"242","1","74"
"242","2","144"
"242","3","160"
"243","1","172"
"243","2","81"
"243","3","127"
"244","1","55"
"244","2","147"
"244","3","129"
"245","1","187"
"245","2","80"
"245","3","176"
"246","1","90"
"246","2","59"
"246","3","175"
"247","1","66"
"247","2","66"
"247","3","146"
"248","1","197"
"248","2","100"
"248","3","197"
"249","1","79"
"249","2","160"
"249","3","170"
"250","1","114"
"250","2","132"
"250","3","62"
"251","1","157"
"251","2","174"
"251","3","125"
"252","1","128"
"252","2","71"
"252","3","125"
"253","1","178"
"253","2","76"
"253","3","98"
"254","1","53"
"254","2","56"
"254","3","200"
"255","1","127"
"255","2","100"
"255","3","82"
"256","1","181"
"256","2","56"
"256","3","104"
"257","1","121"
"257","2","146"
"257","3","197"
"258","1","124"
"258","2","99"
"258","3","114"
"259","1","51"
"259","2","95"
"259","3","108"
"260","1","170"
"260","2","121"
"260","3","53"
"261","1","188"
"261","2","135"
"261","3","51"
"262","1","155"
"262","2","59"
"262","3","186"
"263","1","195"
"263","2","114"
"263","3","168"
"264","1","155"
"264","2","65"
"264","3","170"
"265","1","160"
"265","2","88"
"265","3","100"
"266","1","58"
"266","2","200"
"266","3","167"
"267","1","75"
"267","2","179"
"267","3","97"
"268","1","108"
"268","2","179"
"268","3","94"
"269","1","189"
"269","2","182"
"269","3","145"
"270","1","111"
"270","2","155"
"270","3","130"
"271","1","184"
"271","2","90"
"271","3","118"
"272","1","175"
"272","2","110"
"272","3","117"
"273","1","166"
"273","2","146"
"273","3","179"
"274","1","100"
"274","2","120"
"274","3","161"
"275","1","116"
"275","2","63"
"275","3","73"
"276","1","92"
"276","2","79"
"276","3","162"
"277","1","192"
"277","2","180"
"277","3","165"
"278","1","84"
"278","2","133"
"278","3","142"
"279","1","170"
"279","2","174"
"279","3","193"
"280","1","176"
"280","2","51"
"280","3","169"
"281","1","163"
"281","2","75"
"281","3","167"
"282","1","71"
"282","2","180"
"282","3","78"
"283","1","98"
"283","2","87"
"283","3","162"
"284","1","136"
"284","2","98"
"284","3","76"
"285","1","68"
"285","2","184"
"285","3","103"
"286","1","167"
"286","2","200"
"286","3","107"
"287","1","171"
"287","2","130"
"287","3","170"
"288","1","181"
"288","2","176"
"288","3","156"
"289","1","133"
"289","2","121"
"289","3","50"
"290","1","92"
"290","2","91"
"290","3","101"
"291","1","82"
"291","2","193"
"291","3","65"
"292","1","103"
"292","2","55"
"292","3","90"
"293","1","112"
"293","2","97"
"293","3","180"
"294","1","189"
"294","2","112"
"294","3","63"
"295","1","168"
"295","2","102"
"295","3","138"
"296","1","162"
"296","2","98"
"296","3","147"
"297","1","147"
"297","2","79"
"297","3","64"
"298","1","161"
"298","2","132"
"298","3","141"
"299","1","154"
"299","2","78"
"299","3","85"
"300","1","169"
"300","2","161"
"300","3","88"
"301","1","58"
"301","2","170"
"301","3","68"
"302","1","112"
"302","2","157"
"302","3","130"
"303","1","93"
"303","2","178"
"303","3","175"
"304","1","105"
"304","2","135"
"304","3","173"
"305","1","115"
"305","2","91"
"305","3","147"
"306","1","143"
"306","2","64"
"306","3","76"
"307","1","169"
"307","2","175"
"307","3","96"
"308","1","70"
"308","2","88"
"308","3","53"
"309","1","73"
"309","2","84"
"309","3","147"
"310","1","136"
"310","2","199"
"310","3","66"
"311","1","135"
"311","2","117"
"311","3","77"
"312","1","194"
"312","2","101"
"312","3","50"
"313","1","174"
"313","2","85"
"313","3","57"
"314","1","101"
"314","2","148"
"314","3","168"
"315","1","85"
"315","2","109"
"315","3","190"
"316","1","109"
"316","2","160"
"316","3","82"
"317","1","170"
"317","2","143"
"317","3","196"
"318","1","100"
"318","2","175"
"318","3","123"
"319","1","142"
"319","2","109"
"319","3","91"
"320","1","160"
"320","2","96"
"320","3","136"
"321","1","170"
"321","2","105"
"321","3","153"
"322","1","71"
"322","2","71"
"322","3","181"
"323","1","109"
"323","2","175"
"323","3","84"
"324","1","196"
"324","2","175"
"324","3","72"
"325","1","124"
"325","2","69"
"325","3","186"
"326","1","112"
"326","2","78"
"326","3","140"
"327","1","89"
"327","2","110"
"327","3","147"
"328","1","102"
"328","2","125"
"328","3","187"
"329","1","200"
"329","2","167"
"329","3","114"
"330","1","194"
"330","2","160"
"330","3","85"
"331","1","120"
"331","2","148"
"331","3","128"
"332","1","124"
"332","2","151"
"332","3","76"
"333","1","163"
"333","2","175"
"333","3","165"
"334","1","117"
"334","2","141"
"334","3","86"
"335","1","65"
"335","2","85"
"335","3","77"
"336","1","165"
"336","2","84"
"336","3","88"
"337","1","125"
"337","2","56"
"337","3","80"
"338","1","150"
"338","2","66"
"338","3","160"
"339","1","182"
"339","2","148"
"339","3","177"
"340","1","142"
"340","2","167"
"340","3","82"
"341","1","166"
"341","2","102"
"341","3","62"
"342","1","153"
"342","2","129"
"342","3","129"
"343","1","50"
"343","2","154"
"343","3","130"
"344","1","176"
"344","2","103"
"344","3","137"
"345","1","67"
"345","2","94"
"345","3","147"
"346","1","135"
"346","2","74"
"346","3","185"
"347","1","100"
"347","2","134"
"347","3","128"
"348","1","122"
"348","2","157"
"348","3","96"
"349","1","137"
"349","2","73"
"349","3","69"
"350","1","130"
"350","2","115"
"350","3","191"
"351","1","190"
"351","2","170"
"351","3","55"
"352","1","184"
"352","2","98"
"352","3","116"
"353","1","149"
"353","2","144"
"353","3","151"
"354","1","59"
"354","2","79"
"354","3","152"
"355","1","182"
"355","2","114"
"355","3","165"
"356","1","155"
"356","2","103"
"356","3","50"
"357","1","53"
"357","2","139"
"357","3","88"
"358","1","64"
"358","2","164"
"358","3","155"
"359","1","84"
"359","2","131"
"359","3","87"
"360","1","100"
"360","2","112"
"360","3","158"
"361","1","114"
"361","2","136"
"361","3","154"
"362","1","120"
"362","2","153"
"362","3","192"
"363","1","96"
"363","2","135"
"363","3","131"
"364","1","137"
"364","2","194"
"364","3","67"
"365","1","188"
"365","2","192"
"365","3","74"
"366","1","178"
"366","2","181"
"366","3","82"
"367","1","92"
"367","2","198"
"367","3","157"
"368","1","146"
"368","2","101"
"368","3","97"
"369","1","59"
"369","2","179"
"369","3","165"
"370","1","109"
"370","2","148"
"370","3","67"
"371","1","93"
"371","2","94"
"371","3","160"
"372","1","160"
"372","2","192"
"372","3","156"
"373","1","133"
"373","2","129"
"373","3","67"
"374","1","94"
"374","2","69"
"374","3","197"
"375","1","173"
"375","2","191"
"375","3","89"
"376","1","87"
"376","2","171"
"376","3","65"
"377","1","55"
"377","2","89"
"377","3","151"
"378","1","200"
"378","2","68"
"378","3","168"
"379","1","123"
"379","2","126"
"379","3","123"
"380","1","164"
"380","2","133"
"380","3","60"
"381","1","117"
"381","2","144"
"381","3","190"
"382","1","75"
"382","2","99"
"382","3","66"
"383","1","155"
"383","2","131"
"383","3","81"
"384","1","138"
"384","2","64"
"384","3","99"
"385","1","66"
"385","2","102"
"385","3","123"
"386","1","99"
"386","2","150"
"386","3","189"
"387","1","79"
"387","2","195"
"387","3","127"
"388","1","61"
"388","2","155"
"388","3","120"
"389","1","94"
"389","2","145"
"389","3","50"
"390","1","181"
"390","2","70"
"390","3","170"
"391","1","187"
"391","2","133"
"391","3","133"
"392","1","67"
"392","2","192"
"392","3","155"
"393","1","70"
"393","2","170"
"393","3","189"
"394","1","73"
"394","2","167"
"394","3","172"
"395","1","135"
"395","2","181"
"395","3","166"
"396","1","90"
"396","2","79"
"396","3","94"
"397","1","86"
"397","2","133"
"397","3","161"
"398","1","164"
"398","2","131"
"398","3","78"
"399","1","135"
"399","2","114"
"399","3","66"
"400","1","115"
"400","2","139"
"400","3","82"
"401","1","114"
"401","2","117"
"401","3","181"
"402","1","125"
"402","2","57"
"402","3","120"
"403","1","115"
"403","2","121"
"403","3","133"
"404","1","126"
"404","2","67"
"404","3","78"
"405","1","100"
"405","2","120"
"405","3","78"
"406","1","155"
"406","2","143"
"406","3","111"
"407","1","88"
"407","2","78"
"407","3","104"
"408","1","199"
"408","2","67"
"408","3","147"
"409","1","132"
"409","2","92"
"409","3","145"
"410","1","168"
"410","2","185"
"410","3","178"
"411","1","153"
"411","2","68"
"411","3","200"
"412","1","60"
"412","2","121"
"412","3","60"
"413","1","116"
"413","2","88"
"413","3","126"
"414","1","56"
"414","2","74"
"414","3","133"
"415","1","98"
"415","2","147"
"415","3","136"
"416","1","171"
"416","2","108"
"416","3","95"
"417","1","117"
"417","2","163"
"417","3","120"
"418","1","96"
"418","2","83"
"418","3","81"
"419","1","160"
"419","2","56"
"419","3","62"
"420","1","106"
"420","2","92"
"420","3","162"
"421","1","95"
"421","2","197"
"421","3","188"
"422","1","77"
"422","2","103"
"422","3","68"
"423","1","107"
"423","2","175"
"423","3","182"
"424","1","161"
"424","2","74"
"424","3","72"
"425","1","117"
"425","2","87"
"425","3","106"
"426","1","60"
"426","2","106"
"426","3","198"
"427","1","79"
"427","2","157"
"427","3","150"
"428","1","197"
"428","2","160"
"428","3","189"
"429","1","179"
"429","2","134"
"429","3","159"
"430","1","54"
"430","2","177"
"430","3","155"
"431","1","50"
"431","2","69"
"431","3","181"
"432","1","105"
"432","2","127"
"432","3","143"
"433","1","73"
"433","2","126"
"433","3","186"
"434","1","58"
"434","2","149"
"434","3","168"
"435","1","126"
"435","2","125"
"435","3","133"
"436","1","195"
"436","2","56"
"436","3","116"
"437","1","67"
"437","2","176"
"437","3","158"
"438","1","75"
"438","2","182"
"438","3","93"
"439","1","98"
"439","2","140"
"439","3","51"
"440","1","109"
"440","2","126"
"440","3","138"
"441","1","114"
"441","2","73"
"441","3","61"
"442","1","95"
"442","2","110"
"442","3","55"
"443","1","165"
"443","2","68"
"443","3","118"
"444","1","192"
"444","2","89"
"444","3","168"
"445","1","182"
"445","2","82"
"445","3","66"
"446","1","169"
"446","2","84"
"446","3","113"
"447","1","129"
"447","2","59"
"447","3","188"
"448","1","109"
"448","2","88"
"448","3","65"
"449","1","133"
"449","2","79"
"449","3","54"
"450","1","124"
"450","2","193"
"450","3","144"
"451","1","182"
"451","2","102"
"451","3","84"
"452","1","132"
"452","2","108"
"452","3","130"
"453","1","81"
"453","2","144"
"453","3","171"
"454","1","134"
"454","2","76"
"454","3","128"
"455","1","113"
"455","2","73"
"455","3","50"
"456","1","138"
"456","2","52"
"456","3","116"
"457","1","178"
"457","2","79"
"457","3","176"
"458","1","147"
"458","2","181"
"458","3","116"
"459","1","199"
"459","2","111"
"459","3","138"
"460","1","181"
"460","2","52"
"460","3","110"
"461","1","194"
"461","2","161"
"461","3","103"
"462","1","68"
"462","2","66"
"462","3","164"
"463","1","162"
"463","2","133"
"463","3","93"
"464","1","83"
"464","2","161"
"464","3","121"
"465","1","89"
"465","2","103"
"465","3","147"
"466","1","152"
"466","2","160"
"466","3","199"
"467","1","141"
"467","2","60"
"467","3","163"
"468","1","74"
"468","2","68"
"468","3","157"
"469","1","114"
"469","2","197"
"469","3","100"
"470","1","199"
"470","2","154"
"470","3","135"
"471","1","117"
"471","2","187"
"471","3","169"
"472","1","71"
"472","2","82"
"472","3","62"
"473","1","200"
"473","2","139"
"473","3","182"
"474","1","95"
"474","2","200"
"474","3","155"
"475","1","63"
"475","2","55"
"475","3","100"
"476","1","62"
"476","2","78"
"476","3","113"
"477","1","112"
"477","2","156"
"477","3","186"
"478","1","77"
"478","2","119"
"478","3","117"
"479","1","112"
"479","2","100"
"479","3","145"
"480","1","96"
"480","2","95"
"480","3","135"
"481","1","56"
"481","2","60"
"481","3","126"
"482","1","166"
"482","2","119"
"482","3","177"
"483","1","63"
"483","2","185"
"483","3","175"
"484","1","168"
"484","2","70"
"484","3","53"
"485","1","84"
"485","2","56"
"485","3","50"
"486","1","111"
"486","2","109"
"486","3","133"
"487","1","140"
"487","2","154"
"487","3","195"
"488","1","187"
"488","2","80"
"488","3","100"
"489","1","195"
"489","2","60"
"489","3","138"
"490","1","85"
"490","2","115"
"490","3","136"
"491","1","172"
"491","2","104"
"491","3","132"
"492","1","97"
"492","2","187"
"492","3","125"
"493","1","141"
"493","2","83"
"493","3","143"
"494","1","143"
"494","2","95"
"494","3","169"
"495","1","141"
"495","2","143"
"495","3","114"
"496","1","164"
"496","2","168"
"496","3","200"
"497","1","192"
"497","2","73"
"497","3","168"
"498","1","88"
"498","2","77"
"498","3","193"
"499","1","148"
"499","2","179"
"499","3","198"
"500","1","117"
"500","2","56"
"500","3","132"
